contract,internet_service_DSL,internet_service_Fiber,internet_service_Unknown,monthly_charges,online_security,payment_method_Cash,payment_method_Credit,payment_method_Debit,payment_method_UPI,support_calls,tech_support,tenure,total_charges,churn
0,0,0,1,38.56,0,0,0,0,1,1,1,38,1465.28,0
0,0,1,0,63.93,1,0,1,0,0,0,0,5,319.65,1
1,0,1,0,89.17,0,1,0,0,0,2,0,71,6331.07,0
0,1,0,0,34.33,0,1,0,0,0,3,0,33,1132.89,1
1,0,1,0,82.11,0,0,0,0,1,1,0,51,4187.61,0
2,1,0,0,69.13,0,0,0,1,0,0,0,44,3041.72,1
1,1,0,0,21.71,1,0,1,0,0,3,0,44,955.24,0
0,0,1,0,30.87,0,0,0,0,1,1,1,67,2068.29,1
0,0,1,0,25.01,1,0,0,0,1,1,1,46,1150.46,0
1,0,1,0,114.99,1,0,0,1,0,1,0,3,344.97,1
0,0,1,0,99.11,1,0,0,1,0,2,1,54,5351.94,0
1,0,1,0,90.85,0,1,0,0,0,1,0,50,4542.5,0
0,1,0,0,34.68,0,0,0,1,0,2,0,34,1179.12,0
0,0,1,0,113.6,1,0,1,0,0,3,0,66,7497.6,1
0,0,1,0,97.97,0,0,0,1,0,0,0,17,1665.49,1
0,0,1,0,115.18,1,0,1,0,0,1,0,5,575.9,0
0,0,1,0,27.69,1,0,0,1,0,2,1,31,858.39,1
1,0,1,0,76.9,1,0,1,0,0,0,0,53,4075.7,0
0,0,0,1,21.8,0,0,0,1,0,3,1,44,959.2,0
2,1,0,0,51.8,0,0,0,0,1,2,0,27,1398.6,1
0,1,0,0,89.35,0,1,0,0,0,1,1,22,1965.7,0
1,0,1,0,43.72,1,0,0,0,1,4,1,33,1442.76,0
1,0,0,1,51.13,1,0,0,0,1,1,0,48,2454.24,0
0,0,1,0,104.94,0,0,0,1,0,2,1,22,2308.68,0
0,1,0,0,72.01,0,0,1,0,0,0,1,19,1368.19,0
1,0,1,0,105.26,0,0,1,0,0,3,0,27,2842.02,1
1,0,1,0,111.87,1,1,0,0,0,1,1,71,7942.77,0
1,1,0,0,42.69,0,1,0,0,0,1,1,34,1451.46,0
2,1,0,0,21.46,1,0,1,0,0,2,0,2,42.92,0
1,0,1,0,84.0,0,0,0,1,0,0,1,32,2688.0,0
1,1,0,0,105.67,1,0,0,1,0,3,0,22,2324.74,1
0,1,0,0,21.29,0,1,0,0,0,1,0,51,1085.79,0
1,1,0,0,53.45,0,0,0,1,0,1,0,44,2351.8,0
0,0,1,0,71.78,0,0,1,0,0,0,0,26,1866.28,0
0,0,1,0,69.18,0,0,1,0,0,1,0,64,4427.52,0
2,0,1,0,113.83,0,0,1,0,0,0,0,51,5805.33,0
2,0,1,0,51.04,1,0,1,0,0,3,1,60,3062.4,1
0,0,1,0,51.66,0,1,0,0,0,2,0,8,413.28,0
2,0,1,0,27.96,0,0,0,1,0,1,1,63,1761.48,0
0,0,0,1,74.75,0,0,0,1,0,4,0,48,3588.0,1
0,0,1,0,63.82,1,0,0,1,0,4,0,4,255.28,1
0,1,0,0,103.11,1,0,0,0,1,2,1,27,2783.97,1
2,0,1,0,55.11,0,0,1,0,0,2,0,62,3416.82,0
0,1,0,0,41.01,0,0,0,0,1,0,0,16,656.16,0
0,0,1,0,44.95,1,1,0,0,0,3,1,30,1348.5,0
1,0,1,0,81.9,1,1,0,0,0,1,1,64,5241.6,0
2,1,0,0,118.95,0,0,1,0,0,3,0,26,3092.7,1
0,1,0,0,112.07,0,0,1,0,0,2,0,58,6500.06,1
0,0,1,0,55.73,1,0,0,0,1,2,0,66,3678.18,1
0,1,0,0,79.68,1,1,0,0,0,4,0,72,5736.96,1
2,0,1,0,108.41,1,0,1,0,0,1,0,22,2385.02,0
1,0,1,0,54.59,1,0,0,0,1,0,0,12,655.08,0
0,0,1,0,50.07,0,0,0,0,1,2,1,24,1201.68,0
0,1,0,0,52.14,1,0,0,1,0,0,0,30,1564.2,0
0,0,1,0,58.15,0,0,0,0,1,0,0,11,639.65,0
1,0,1,0,65.98,1,0,0,0,1,0,1,21,1385.58,0
0,1,0,0,57.85,0,0,0,1,0,4,0,37,2140.45,1
0,0,1,0,112.69,0,0,0,1,0,4,1,2,225.38,1
0,0,1,0,85.96,0,1,0,0,0,1,0,21,1805.16,1
2,0,1,0,21.35,1,0,1,0,0,1,0,45,960.75,0
0,0,0,1,84.6,0,0,0,0,1,2,1,45,3807.0,0
0,0,1,0,66.2,0,0,0,1,0,0,0,68,4501.6,0
2,0,1,0,82.76,0,0,0,1,0,1,0,16,1324.16,1
1,0,1,0,104.79,0,1,0,0,0,1,0,11,1152.69,0
1,1,0,0,70.76,1,0,1,0,0,2,0,26,1839.76,0
1,1,0,0,57.41,0,0,0,1,0,1,0,46,2640.86,0
0,0,1,0,106.08,0,0,1,0,0,0,0,63,6683.04,0
0,0,1,0,23.73,1,0,0,1,0,1,1,64,1518.72,0
2,1,0,0,61.84,1,0,1,0,0,2,0,43,2659.12,0
0,0,1,0,87.29,0,0,0,0,1,1,1,53,4626.37,0
0,0,0,1,115.51,0,1,0,0,0,0,0,51,5891.01,1
0,0,0,1,114.1,0,0,0,1,0,4,0,15,1711.5,1
1,0,1,0,72.12,0,1,0,0,0,2,0,47,3389.64,0
0,0,1,0,29.85,1,0,1,0,0,1,0,30,895.5,0
0,0,1,0,115.1,1,1,0,0,0,0,1,36,4143.6,0
0,1,0,0,32.07,0,0,0,0,1,3,0,34,1090.38,1
0,1,0,0,41.11,0,0,1,0,0,2,0,62,2548.82,0
0,0,1,0,100.76,0,0,0,1,0,0,0,57,5743.32,0
0,1,0,0,45.4,0,0,1,0,0,2,0,19,862.6,0
2,1,0,0,39.57,1,0,0,1,0,2,0,69,2730.33,0
1,1,0,0,75.11,0,0,0,0,1,0,0,2,150.22,0
0,1,0,0,118.37,0,0,1,0,0,0,0,24,2840.88,1
0,1,0,0,27.9,1,0,0,0,1,0,1,63,1757.7,0
0,1,0,0,55.46,1,0,1,0,0,2,0,67,3715.82,0
0,0,1,0,85.41,1,0,0,0,1,0,0,21,1793.61,1
0,1,0,0,108.88,0,1,0,0,0,1,1,50,5444.0,0
1,1,0,0,91.45,1,0,1,0,0,3,0,8,731.6,1
2,0,1,0,96.26,0,0,0,0,1,1,1,2,192.52,0
1,1,0,0,102.34,0,0,0,1,0,0,0,59,6038.06,0
0,1,0,0,62.25,0,1,0,0,0,2,1,36,2241.0,0
0,1,0,0,101.46,0,0,0,1,0,0,1,15,1521.9,0
0,0,0,1,56.11,0,1,0,0,0,1,1,52,2917.72,0
2,0,1,0,56.33,1,1,0,0,0,4,0,60,3379.8,0
0,1,0,0,93.78,1,1,0,0,0,3,1,4,375.12,1
0,0,1,0,96.96,0,1,0,0,0,1,0,6,581.76,1
2,0,1,0,115.48,1,0,0,0,1,2,0,5,577.4,1
2,0,1,0,86.79,1,0,0,0,1,1,0,45,3905.55,0
1,0,1,0,82.83,0,0,1,0,0,0,1,27,2236.41,0
0,0,0,1,78.77,0,1,0,0,0,2,0,39,3072.03,0
0,0,1,0,107.75,0,1,0,0,0,3,1,9,969.75,1
0,0,1,0,75.03,0,1,0,0,0,1,0,18,1350.54,0
0,0,1,0,91.99,0,0,0,0,1,2,0,23,2115.77,1
1,0,1,0,87.56,0,0,1,0,0,4,1,7,612.92,0
2,0,1,0,38.5,0,0,1,0,0,1,0,31,1193.5,0
1,1,0,0,26.27,1,0,0,0,1,1,1,14,367.78,0
1,0,1,0,31.7,1,0,0,0,1,1,1,5,158.5,1
0,0,1,0,42.37,0,0,1,0,0,1,0,36,1525.32,0
0,0,1,0,46.99,0,0,1,0,0,3,0,62,2913.38,1
0,1,0,0,118.25,1,1,0,0,0,0,1,60,7095.0,0
0,1,0,0,38.94,0,1,0,0,0,2,0,47,1830.18,1
0,0,1,0,116.38,0,0,0,1,0,1,0,36,4189.68,1
1,1,0,0,115.55,0,0,0,1,0,2,1,17,1964.35,0
0,0,1,0,89.24,0,0,0,0,1,1,1,28,2498.72,0
1,1,0,0,92.35,0,0,0,1,0,0,0,31,2862.85,0
0,0,1,0,64.24,0,0,0,1,0,2,1,57,3661.68,0
1,1,0,0,44.57,0,0,0,1,0,2,1,12,534.84,0
0,0,0,1,55.86,1,1,0,0,0,1,1,72,4021.92,0
0,1,0,0,86.13,0,0,1,0,0,5,0,32,2756.16,1
2,1,0,0,119.8,0,0,1,0,0,1,1,27,3234.6,0
1,1,0,0,32.76,0,1,0,0,0,1,0,72,2358.72,1
1,1,0,0,64.7,0,0,1,0,0,2,0,8,517.6,0
1,0,0,1,45.61,1,0,1,0,0,2,0,12,547.32,0
0,1,0,0,118.57,1,0,0,0,1,4,0,38,4505.66,1
1,1,0,0,53.3,0,0,0,0,1,4,0,18,959.4,0
1,0,1,0,53.6,1,1,0,0,0,1,0,45,2412.0,0
2,1,0,0,85.75,0,0,1,0,0,2,1,10,857.5,0
0,1,0,0,77.62,1,0,1,0,0,3,1,43,3337.66,1
0,0,1,0,59.63,0,0,0,0,1,1,0,52,3100.76,0
0,0,0,1,36.24,1,0,1,0,0,2,1,34,1232.16,0
0,0,1,0,114.85,1,1,0,0,0,1,0,30,3445.5,1
1,0,1,0,96.21,1,1,0,0,0,1,0,46,4425.66,0
1,0,1,0,79.28,0,0,1,0,0,4,1,43,3409.04,1
0,0,1,0,118.96,0,1,0,0,0,1,0,66,7851.36,1
0,1,0,0,88.1,0,0,1,0,0,1,1,1,88.1,1
1,0,1,0,99.94,1,1,0,0,0,2,0,20,1998.8,0
0,0,1,0,46.8,1,1,0,0,0,1,0,22,1029.6,0
2,1,0,0,23.7,0,0,0,1,0,2,1,8,189.6,0
0,0,0,1,65.98,1,0,0,0,1,1,0,3,197.94,1
0,1,0,0,65.19,0,0,0,0,1,2,0,46,2998.74,1
0,0,1,0,104.03,0,0,1,0,0,0,1,22,2288.66,0
1,0,1,0,70.56,0,0,0,0,1,1,1,67,4727.52,0
0,0,0,1,101.62,1,1,0,0,0,3,0,31,3150.22,1
0,0,1,0,111.33,0,1,0,0,0,3,0,49,5455.17,1
2,1,0,0,64.99,0,0,1,0,0,0,0,42,2729.58,1
1,0,0,1,108.54,1,0,1,0,0,1,0,64,6946.56,0
0,1,0,0,50.72,1,0,0,1,0,1,0,63,3195.36,0
0,0,1,0,46.57,0,1,0,0,0,2,0,10,465.7,0
0,0,1,0,31.02,0,0,0,0,1,1,0,72,2233.44,0
2,0,1,0,111.24,0,0,1,0,0,1,0,31,3448.44,0
1,0,1,0,33.45,0,0,0,0,1,1,0,71,2374.95,0
1,0,1,0,93.63,0,1,0,0,0,2,1,43,4026.09,1
1,0,0,1,64.91,1,1,0,0,0,0,0,37,2401.67,0
2,0,1,0,90.3,0,0,0,0,1,0,0,40,3612.0,0
0,0,1,0,102.77,1,0,0,0,1,4,0,28,2877.56,1
0,1,0,0,25.39,0,0,1,0,0,2,0,1,25.39,1
2,1,0,0,92.68,1,1,0,0,0,0,1,27,2502.36,0
1,0,1,0,69.83,1,0,0,0,1,1,1,62,4329.46,0
0,0,0,1,116.17,0,0,1,0,0,0,1,41,4762.97,0
0,0,1,0,79.63,0,0,1,0,0,0,0,17,1353.71,0
1,0,1,0,61.9,1,0,0,0,1,1,0,34,2104.6,0
1,0,1,0,95.99,1,0,0,0,1,2,1,39,3743.61,0
0,0,1,0,69.88,0,1,0,0,0,1,0,69,4821.72,0
1,1,0,0,39.31,1,0,0,1,0,2,1,9,353.79,0
2,1,0,0,111.61,0,0,0,1,0,0,1,46,5134.06,0
0,0,1,0,31.93,0,0,0,1,0,0,1,35,1117.55,0
0,0,0,1,57.37,0,1,0,0,0,2,1,9,516.33,0
0,0,1,0,47.92,0,0,1,0,0,2,1,54,2587.68,0
0,0,1,0,37.61,0,0,0,1,0,1,1,34,1278.74,0
0,0,1,0,108.47,0,0,0,1,0,1,1,2,216.94,1
0,0,1,0,116.33,0,0,0,0,1,3,1,45,5234.85,1
1,1,0,0,112.88,0,1,0,0,0,3,0,45,5079.6,1
0,1,0,0,72.3,0,1,0,0,0,2,0,9,650.7,0
1,1,0,0,42.15,0,0,0,1,0,1,0,10,421.5,0
0,1,0,0,113.16,1,0,0,0,1,3,0,6,678.96,1
0,1,0,0,80.41,0,0,1,0,0,1,0,15,1206.15,1
2,0,1,0,86.92,0,0,1,0,0,1,1,57,4954.44,0
2,0,1,0,45.75,0,1,0,0,0,1,0,40,1830.0,1
0,0,1,0,64.06,0,0,0,1,0,0,0,3,192.18,1
0,1,0,0,32.34,0,0,1,0,0,2,0,65,2102.1,1
0,0,1,0,89.56,0,0,1,0,0,0,0,54,4836.24,1
2,0,1,0,54.19,1,0,0,1,0,0,0,26,1408.94,0
1,0,1,0,83.9,1,1,0,0,0,1,0,33,2768.7,0
0,0,1,0,119.95,1,0,0,0,1,3,0,19,2279.05,1
0,1,0,0,44.56,0,0,1,0,0,0,0,13,579.28,0
0,0,1,0,39.32,1,0,1,0,0,1,0,63,2477.16,0
1,0,1,0,116.27,0,0,1,0,0,2,0,40,4650.8,0
1,0,0,1,105.63,1,0,0,1,0,2,0,62,6549.06,0
0,0,1,0,27.52,0,0,0,1,0,0,0,11,302.72,1
0,0,1,0,31.43,1,0,1,0,0,3,0,45,1414.35,1
0,1,0,0,55.24,1,0,1,0,0,3,0,48,2651.52,0
1,1,0,0,33.48,0,0,0,1,0,0,1,15,502.2,0
1,0,1,0,91.35,1,1,0,0,0,1,0,42,3836.7,0
0,0,1,0,81.63,1,0,0,0,1,1,0,68,5550.84,0
0,0,1,0,97.35,0,0,1,0,0,1,1,70,6814.5,0
1,0,1,0,85.14,0,0,0,0,1,2,0,52,4427.28,0
0,0,1,0,60.61,1,1,0,0,0,2,1,15,909.15,1
0,0,1,0,26.02,0,1,0,0,0,3,0,56,1457.12,1
2,0,1,0,53.52,0,0,1,0,0,2,0,18,963.36,0
1,0,0,1,41.58,0,1,0,0,0,2,0,14,582.12,0
0,1,0,0,87.84,0,0,1,0,0,1,0,27,2371.68,0
2,0,1,0,92.97,1,0,0,1,0,1,0,21,1952.37,0
0,1,0,0,59.3,1,0,0,1,0,0,0,7,415.1,0
2,1,0,0,52.64,0,0,0,1,0,0,0,64,3368.96,0
0,1,0,0,42.79,0,1,0,0,0,0,1,14,599.06,0
0,0,1,0,116.58,0,0,0,0,1,1,0,7,816.06,1
0,1,0,0,61.98,0,1,0,0,0,0,0,69,4276.62,0
0,0,1,0,99.73,1,0,0,1,0,3,0,41,4088.93,0
0,1,0,0,71.15,1,0,1,0,0,1,0,66,4695.9,0
0,1,0,0,56.12,0,1,0,0,0,2,0,23,1290.76,1
0,0,1,0,24.88,1,0,1,0,0,1,0,59,1467.92,0
0,0,1,0,77.26,0,0,0,0,1,1,0,55,4249.3,0
0,0,0,1,74.57,1,1,0,0,0,1,1,62,4623.34,0
1,0,0,1,54.61,0,0,0,1,0,0,1,40,2184.4,0
0,0,1,0,62.56,0,0,0,1,0,1,0,58,3628.48,0
2,0,1,0,92.37,0,0,0,1,0,1,1,32,2955.84,0
0,0,1,0,118.41,1,0,0,1,0,5,0,53,6275.73,1
0,0,1,0,54.59,1,0,0,0,1,2,0,67,3657.53,0
0,1,0,0,119.23,1,0,0,1,0,0,1,11,1311.53,0
1,1,0,0,26.03,0,0,0,1,0,0,0,68,1770.04,1
2,0,1,0,31.15,0,1,0,0,0,2,0,34,1059.1,0
0,0,0,1,35.62,1,0,1,0,0,0,1,13,463.06,1
0,0,1,0,76.53,0,0,1,0,0,0,1,34,2602.02,0
2,1,0,0,61.04,0,0,0,1,0,3,0,28,1709.12,0
2,0,1,0,107.79,1,0,0,1,0,1,0,41,4419.39,0
0,0,1,0,30.89,0,0,1,0,0,2,0,37,1142.93,1
0,0,0,1,25.84,0,1,0,0,0,1,0,13,335.92,0
0,0,1,0,86.69,0,0,0,1,0,2,0,10,866.9,1
0,0,1,0,66.51,0,1,0,0,0,2,0,69,4589.19,0
0,0,1,0,31.56,0,0,0,1,0,0,1,27,852.12,0
2,0,1,0,72.14,0,0,0,0,1,0,1,24,1731.36,1
0,1,0,0,49.88,1,0,0,0,1,2,0,29,1446.52,0
0,0,1,0,78.59,0,0,0,1,0,1,0,7,550.13,0
0,0,1,0,62.82,0,0,0,1,0,1,0,45,2826.9,0
0,0,1,0,52.7,1,0,1,0,0,2,1,17,895.9,0
0,1,0,0,78.72,0,0,1,0,0,3,0,65,5116.8,1
0,1,0,0,40.1,0,0,0,0,1,2,1,24,962.4,0
0,0,1,0,93.42,0,0,0,1,0,4,0,31,2896.02,1
1,0,1,0,57.04,0,0,0,0,1,1,1,8,456.32,0
0,0,1,0,86.57,0,0,0,1,0,5,0,29,2510.53,1
0,0,1,0,101.55,1,0,0,1,0,2,0,22,2234.1,1
1,1,0,0,27.09,0,0,1,0,0,3,0,57,1544.13,0
0,1,0,0,64.44,1,0,0,1,0,2,1,28,1804.32,0
0,1,0,0,99.82,1,0,1,0,0,1,0,69,6887.58,1
1,0,1,0,115.77,0,0,1,0,0,2,1,9,1041.93,0
2,1,0,0,112.21,1,1,0,0,0,1,0,51,5722.71,0
2,0,1,0,36.03,0,1,0,0,0,0,1,21,756.63,0
0,0,1,0,71.76,0,1,0,0,0,0,1,37,2655.12,0
1,1,0,0,36.62,0,0,1,0,0,3,0,22,805.64,0
0,1,0,0,95.01,0,1,0,0,0,2,0,60,5700.6,1
0,0,1,0,89.6,0,0,1,0,0,2,0,60,5376.0,0
1,0,1,0,53.99,0,0,1,0,0,0,0,59,3185.41,0
0,1,0,0,60.24,1,0,0,0,1,4,0,54,3252.96,1
0,0,1,0,51.91,0,0,1,0,0,0,1,52,2699.32,0
1,1,0,0,69.1,0,0,1,0,0,2,1,24,1658.4,0
0,0,0,1,96.6,1,0,0,1,0,2,0,67,6472.2,0
0,0,1,0,36.19,0,0,0,1,0,0,1,48,1737.12,0
0,0,1,0,50.03,0,0,0,1,0,3,0,14,700.42,1
0,0,1,0,30.04,0,1,0,0,0,0,0,55,1652.2,0
2,0,1,0,54.85,0,1,0,0,0,1,0,38,2084.3,0
2,1,0,0,46.09,0,0,0,1,0,1,0,25,1152.25,0
0,0,1,0,118.32,1,0,0,0,1,2,1,34,4022.88,0
0,1,0,0,49.48,0,0,0,1,0,2,0,53,2622.44,0
0,1,0,0,29.38,1,1,0,0,0,1,0,34,998.92,0
0,0,1,0,45.74,1,0,0,1,0,1,1,17,777.58,0
0,0,1,0,33.45,0,1,0,0,0,2,0,48,1605.6,0
0,0,1,0,70.8,0,0,0,1,0,1,0,1,70.8,0
2,1,0,0,114.62,1,0,1,0,0,2,1,16,1833.92,0
0,0,1,0,43.82,1,0,0,0,1,2,0,55,2410.1,0
0,0,0,1,42.93,0,1,0,0,0,0,1,37,1588.41,0
0,0,1,0,111.98,0,0,1,0,0,1,0,19,2127.62,1
0,0,1,0,23.67,0,0,0,0,1,2,0,60,1420.2,0
1,1,0,0,48.09,1,0,0,0,1,1,0,11,528.99,0
0,0,1,0,113.09,1,0,0,0,1,0,0,39,4410.51,1
0,0,0,1,65.85,0,0,1,0,0,0,0,59,3885.15,1
2,0,0,1,96.31,1,0,1,0,0,1,0,13,1252.03,1
1,1,0,0,56.93,1,0,0,0,1,1,1,20,1138.6,0
2,0,1,0,83.61,0,0,1,0,0,1,0,52,4347.72,0
1,1,0,0,49.09,0,0,0,1,0,0,1,22,1079.98,0
2,1,0,0,27.13,0,0,0,0,1,1,0,5,135.65,0
0,0,0,1,41.38,0,1,0,0,0,3,1,48,1986.24,0
1,0,1,0,37.72,1,0,0,1,0,2,1,52,1961.44,0
2,0,1,0,54.51,0,0,1,0,0,3,0,4,218.04,0
0,0,0,1,115.75,0,0,1,0,0,1,0,10,1157.5,1
0,0,1,0,94.94,0,0,0,0,1,0,0,67,6360.98,1
2,1,0,0,23.76,1,0,0,1,0,5,1,34,807.84,0
0,0,1,0,54.93,1,0,1,0,0,3,0,60,3295.8,0
0,0,1,0,35.45,0,0,0,1,0,3,0,61,2162.45,1
2,1,0,0,92.71,1,0,0,1,0,2,1,44,4079.24,0
1,0,1,0,56.05,1,0,0,0,1,0,0,55,3082.75,1
0,0,1,0,80.24,1,1,0,0,0,0,0,10,802.4,1
1,0,1,0,115.7,0,0,1,0,0,3,0,42,4859.4,1
0,1,0,0,88.17,0,0,0,1,0,0,1,30,2645.1,0
0,0,1,0,34.84,0,0,0,1,0,3,0,68,2369.12,1
0,0,1,0,105.57,1,0,1,0,0,0,0,51,5384.07,1
0,1,0,0,87.81,0,0,0,1,0,1,1,57,5005.17,0
1,1,0,0,81.89,0,0,0,0,1,5,0,65,5322.85,1
0,0,1,0,97.39,0,0,0,1,0,1,0,21,2045.19,1
0,0,1,0,117.7,1,1,0,0,0,2,1,29,3413.3,1
0,1,0,0,57.82,0,0,0,1,0,1,1,41,2370.62,0
1,0,1,0,54.36,0,0,1,0,0,2,0,51,2772.36,0
1,0,1,0,73.42,1,1,0,0,0,3,0,23,1688.66,0
0,1,0,0,86.41,1,0,0,1,0,1,0,42,3629.22,1
0,1,0,0,37.24,0,0,0,1,0,4,0,29,1079.96,1
1,0,1,0,64.54,1,1,0,0,0,0,0,13,839.02,0
0,1,0,0,119.02,1,0,0,0,1,2,1,57,6784.14,0
0,0,1,0,58.12,1,0,0,1,0,2,0,38,2208.56,0
0,0,1,0,108.59,0,0,0,0,1,0,0,45,4886.55,0
0,1,0,0,22.86,0,0,0,0,1,0,0,20,457.2,0
0,0,1,0,116.13,0,0,1,0,0,4,0,69,8012.97,1
0,0,1,0,50.74,0,0,0,1,0,1,1,1,50.74,0
2,0,0,1,77.53,0,1,0,0,0,1,1,63,4884.39,0
1,1,0,0,80.67,1,0,0,1,0,0,0,27,2178.09,0
0,0,0,1,29.51,0,1,0,0,0,3,1,49,1445.99,0
0,0,1,0,106.07,1,1,0,0,0,3,1,40,4242.8,1
0,1,0,0,56.74,0,0,0,0,1,1,1,17,964.58,0
2,0,1,0,26.2,1,0,0,0,1,2,0,43,1126.6,1
0,1,0,0,55.49,1,0,0,0,1,2,1,52,2885.48,0
2,0,1,0,117.47,0,1,0,0,0,0,0,48,5638.56,0
0,0,0,1,119.92,0,0,0,0,1,0,1,32,3837.44,0
0,0,1,0,116.25,1,1,0,0,0,6,0,70,8137.5,1
1,1,0,0,51.27,0,0,0,1,0,2,1,10,512.7,0
0,0,1,0,20.4,1,0,0,1,0,0,0,56,1142.4,0
2,0,1,0,67.13,1,0,0,1,0,3,1,21,1409.73,0
2,0,1,0,109.79,1,0,1,0,0,3,0,52,5709.08,0
0,0,1,0,67.06,0,0,0,1,0,5,0,29,1944.74,1
0,1,0,0,46.15,0,0,0,1,0,2,0,52,2399.8,0
1,1,0,0,83.32,0,1,0,0,0,5,0,19,1583.08,1
2,0,1,0,103.14,0,1,0,0,0,1,0,72,7426.08,0
0,0,1,0,116.73,0,1,0,0,0,3,0,2,233.46,1
2,0,1,0,74.81,0,0,0,0,1,2,1,1,74.81,1
1,0,1,0,20.77,0,0,0,1,0,1,0,50,1038.5,0
2,0,1,0,25.87,1,0,1,0,0,1,0,24,620.88,0
0,0,1,0,39.73,0,0,0,1,0,6,0,25,993.25,1
1,0,1,0,27.83,1,1,0,0,0,3,0,53,1474.99,0
2,0,1,0,81.73,0,0,0,0,1,6,0,19,1552.87,1
0,0,0,1,32.14,1,1,0,0,0,1,0,62,1992.68,0
1,0,1,0,38.52,0,0,0,1,0,2,0,35,1348.2,0
1,1,0,0,39.59,0,0,0,0,1,1,1,36,1425.24,0
0,0,1,0,35.45,0,0,1,0,0,1,0,7,248.15,0
0,0,0,1,78.22,1,1,0,0,0,0,1,24,1877.28,0
1,0,1,0,30.81,0,0,0,1,0,3,0,40,1232.4,0
0,0,1,0,60.66,1,0,0,1,0,0,0,2,121.32,1
0,0,1,0,28.98,0,1,0,0,0,0,0,54,1564.92,0
1,1,0,0,105.23,1,1,0,0,0,2,1,32,3367.36,0
0,1,0,0,62.52,0,1,0,0,0,2,1,17,1062.84,0
1,0,1,0,116.23,1,1,0,0,0,1,0,50,5811.5,0
0,1,0,0,84.95,0,0,0,1,0,1,0,8,679.6,1
1,0,1,0,117.22,0,0,0,0,1,1,0,32,3751.04,1
2,0,1,0,27.1,0,0,0,0,1,0,0,45,1219.5,0
0,1,0,0,118.84,0,0,1,0,0,4,0,1,118.84,1
0,1,0,0,46.43,0,0,0,0,1,0,1,68,3157.24,0
0,0,1,0,103.59,0,1,0,0,0,3,1,68,7044.12,1
1,0,1,0,94.81,0,0,0,0,1,1,1,21,1991.01,0
0,0,1,0,37.65,0,0,0,0,1,4,0,19,715.35,0
0,1,0,0,68.61,0,0,0,1,0,1,1,43,2950.23,0
